doctor_id,first_name,last_name,specialization,phone_number,years_experience,hospital_branch,email
D001,David,Taylor,Dermatology,8322010158,17,Westside Clinic,dr.david.taylor@hospital.com
D002,Jane,Davis,Pediatrics,9004382050,24,Eastside Clinic,dr.jane.davis@hospital.com
D003,Jane,Smith,Pediatrics,8737740598,19,Eastside Clinic,dr.jane.smith@hospital.com
D004,David,Jones,Pediatrics,6594221991,28,Central Hospital,dr.david.jones@hospital.com
D005,Sarah,Taylor,Dermatology,9118538547,26,Central Hospital,dr.sarah.taylor@hospital.com
D006,Alex,Davis,Pediatrics,6570137231,23,Central Hospital,dr.alex.davis@hospital.com
D007,Robert,Davis,Oncology,8217493115,26,Westside Clinic,dr.robert.davis@hospital.com
D008,Linda,Brown,Dermatology,9069162601,5,Westside Clinic,dr.linda.brown@hospital.com
D009,Sarah,Smith,Pediatrics,7387087517,26,Central Hospital,dr.sarah.smith@hospital.com
D010,Linda,Wilson,Oncology,6176383634,21,Eastside Clinic,dr.linda.wilson@hospital.com
D011,Michael,Johnson,Cardiology,5551234567,15,Central Hospital,dr.michael.johnson@hospital.com
D012,Emily,Williams,Neurology,5552345678,12,Westside Clinic,dr.emily.williams@hospital.com
D013,Daniel,Brown,Orthopedics,5553456789,20,Eastside Clinic,dr.daniel.brown@hospital.com
D014,Jessica,Jones,Emergency Medicine,5554567890,8,Central Hospital,dr.jessica.jones@hospital.com
D015,Christopher,Garcia,Pulmonology,5555678901,18,Westside Clinic,dr.christopher.garcia@hospital.com
D016,Amanda,Miller,General Surgery,5556789012,22,Eastside Clinic,dr.amanda.miller@hospital.com
D017,Matthew,Davis,Nephrology,5557890123,14,Central Hospital,dr.matthew.davis@hospital.com
D018,Ashley,Rodriguez,Gastroenterology,5558901234,16,Westside Clinic,dr.ashley.rodriguez@hospital.com
D019,Joshua,Martinez,Pediatrics,5559012345,10,Eastside Clinic,dr.joshua.martinez@hospital.com
D020,Sarah,Hernandez,Dermatology,5550123456,9,Central Hospital,dr.sarah.hernandez@hospital.com
